Cement,Fly Ash,Water,Superplasticizer,Concrete compressive strength
540.0 ,0.0 ,162.0 ,2.5 ,79.99 
540.0 ,0.0 ,162.0 ,2.5 ,61.89 
332.5 ,0.0 ,228.0 ,0.0 ,40.27 
332.5 ,0.0 ,228.0 ,0.0 ,41.05 
198.6 ,0.0 ,192.0 ,0.0 ,44.30 
266.0 ,0.0 ,228.0 ,0.0 ,47.03 
380.0 ,0.0 ,228.0 ,0.0 ,43.70 
380.0 ,0.0 ,228.0 ,0.0 ,36.45 
266.0 ,0.0 ,228.0 ,0.0 ,45.85 
475.0 ,0.0 ,228.0 ,0.0 ,39.29 
198.6 ,0.0 ,192.0 ,0.0 ,38.07 
198.6 ,0.0 ,192.0 ,0.0 ,28.02 
427.5 ,0.0 ,228.0 ,0.0 ,43.01 
190.0 ,0.0 ,228.0 ,0.0 ,42.33 
304.0 ,0.0 ,228.0 ,0.0 ,47.81 
380.0 ,0.0 ,228.0 ,0.0 ,52.91 
139.6 ,0.0 ,192.0 ,0.0 ,39.36 
342.0 ,0.0 ,228.0 ,0.0 ,56.14 
380.0 ,0.0 ,228.0 ,0.0 ,40.56 
475.0 ,0.0 ,228.0 ,0.0 ,42.62 
427.5 ,0.0 ,228.0 ,0.0 ,41.84 
139.6 ,0.0 ,192.0 ,0.0 ,28.24 
139.6 ,0.0 ,192.0 ,0.0 ,8.06 
139.6 ,0.0 ,192.0 ,0.0 ,44.21 
380.0 ,0.0 ,228.0 ,0.0 ,52.52 
380.0 ,0.0 ,228.0 ,0.0 ,53.30 
380.0 ,0.0 ,228.0 ,0.0 ,41.15 
342.0 ,0.0 ,228.0 ,0.0 ,52.12 
427.5 ,0.0 ,228.0 ,0.0 ,37.43 
475.0 ,0.0 ,228.0 ,0.0 ,38.60 
304.0 ,0.0 ,228.0 ,0.0 ,55.26 
266.0 ,0.0 ,228.0 ,0.0 ,52.91 
198.6 ,0.0 ,192.0 ,0.0 ,41.72 
475.0 ,0.0 ,228.0 ,0.0 ,42.13 
190.0 ,0.0 ,228.0 ,0.0 ,53.69 
237.5 ,0.0 ,228.0 ,0.0 ,38.41 
237.5 ,0.0 ,228.0 ,0.0 ,30.08 
332.5 ,0.0 ,228.0 ,0.0 ,37.72 
475.0 ,0.0 ,228.0 ,0.0 ,42.23 
237.5 ,0.0 ,228.0 ,0.0 ,36.25 
342.0 ,0.0 ,228.0 ,0.0 ,50.46 
427.5 ,0.0 ,228.0 ,0.0 ,43.70 
237.5 ,0.0 ,228.0 ,0.0 ,39.00 
380.0 ,0.0 ,228.0 ,0.0 ,53.10 
427.5 ,0.0 ,228.0 ,0.0 ,41.54 
427.5 ,0.0 ,228.0 ,0.0 ,35.08 
349.0 ,0.0 ,192.0 ,0.0 ,15.05 
380.0 ,0.0 ,228.0 ,0.0 ,40.76 
237.5 ,0.0 ,228.0 ,0.0 ,26.26 
380.0 ,0.0 ,228.0 ,0.0 ,32.82 
332.5 ,0.0 ,228.0 ,0.0 ,39.78 
190.0 ,0.0 ,228.0 ,0.0 ,46.93 
237.5 ,0.0 ,228.0 ,0.0 ,33.12 
304.0 ,0.0 ,228.0 ,0.0 ,49.19 
139.6 ,0.0 ,192.0 ,0.0 ,14.59 
198.6 ,0.0 ,192.0 ,0.0 ,14.64 
475.0 ,0.0 ,228.0 ,0.0 ,41.93 
198.6 ,0.0 ,192.0 ,0.0 ,9.13 
304.0 ,0.0 ,228.0 ,0.0 ,50.95 
332.5 ,0.0 ,228.0 ,0.0 ,33.02 
304.0 ,0.0 ,228.0 ,0.0 ,54.38 
266.0 ,0.0 ,228.0 ,0.0 ,51.73 
310.0 ,0.0 ,192.0 ,0.0 ,9.87 
190.0 ,0.0 ,228.0 ,0.0 ,50.66 
266.0 ,0.0 ,228.0 ,0.0 ,48.70 
342.0 ,0.0 ,228.0 ,0.0 ,55.06 
139.6 ,0.0 ,192.0 ,0.0 ,44.70 
332.5 ,0.0 ,228.0 ,0.0 ,30.28 
190.0 ,0.0 ,228.0 ,0.0 ,40.86 
485.0 ,0.0 ,146.0 ,0.0 ,71.99 
374.0 ,0.0 ,170.1 ,10.1 ,34.40 
313.3 ,0.0 ,175.5 ,8.6 ,28.80 
425.0 ,0.0 ,153.5 ,16.5 ,33.40 
425.0 ,0.0 ,151.4 ,18.6 ,36.30 
375.0 ,0.0 ,126.6 ,23.4 ,29.00 
475.0 ,0.0 ,181.1 ,8.9 ,37.80 
469.0 ,0.0 ,137.8 ,32.2 ,40.20 
425.0 ,0.0 ,153.5 ,16.5 ,33.40 
388.6 ,0.0 ,157.9 ,12.1 ,28.10 
531.3 ,0.0 ,141.8 ,28.2 ,41.30 
425.0 ,0.0 ,153.5 ,16.5 ,33.40 
318.8 ,0.0 ,155.7 ,14.3 ,25.20 
401.8 ,0.0 ,147.4 ,11.4 ,41.10 
362.6 ,0.0 ,164.9 ,11.6 ,35.30 
323.7 ,0.0 ,183.8 ,10.3 ,28.30 
379.5 ,0.0 ,153.9 ,15.9 ,28.60 
362.6 ,0.0 ,164.9 ,11.6 ,35.30 
286.3 ,0.0 ,144.7 ,11.2 ,24.40 
362.6 ,0.0 ,164.9 ,11.6 ,35.30 
439.0 ,0.0 ,186.0 ,11.1 ,39.30 
389.9 ,0.0 ,145.9 ,22.0 ,40.60 
362.6 ,0.0 ,164.9 ,11.6 ,35.30 
337.9 ,0.0 ,174.9 ,9.5 ,24.10 
374.0 ,0.0 ,170.1 ,10.1 ,46.20 
313.3 ,0.0 ,175.5 ,8.6 ,42.80 
425.0 ,0.0 ,153.5 ,16.5 ,49.20 
425.0 ,0.0 ,151.4 ,18.6 ,46.80 
375.0 ,0.0 ,126.6 ,23.4 ,45.70 
475.0 ,0.0 ,181.1 ,8.9 ,55.60 
469.0 ,0.0 ,137.8 ,32.2 ,54.90 
425.0 ,0.0 ,153.5 ,16.5 ,49.20 
388.6 ,0.0 ,157.9 ,12.1 ,34.90 
531.3 ,0.0 ,141.8 ,28.2 ,46.90 
425.0 ,0.0 ,153.5 ,16.5 ,49.20 
318.8 ,0.0 ,155.7 ,14.3 ,33.40 
401.8 ,0.0 ,147.4 ,11.4 ,54.10 
362.6 ,0.0 ,164.9 ,11.6 ,55.90 
323.7 ,0.0 ,183.8 ,10.3 ,49.80 
379.5 ,0.0 ,153.9 ,15.9 ,47.10 
362.6 ,0.0 ,164.9 ,11.6 ,55.90 
286.3 ,0.0 ,144.7 ,11.2 ,38.00 
362.6 ,0.0 ,164.9 ,11.6 ,55.90 
439.0 ,0.0 ,186.0 ,11.1 ,56.10 
389.9 ,0.0 ,145.9 ,22.0 ,59.09 
362.6 ,0.0 ,164.9 ,11.6 ,22.90 
337.9 ,0.0 ,174.9 ,9.5 ,35.10 
374.0 ,0.0 ,170.1 ,10.1 ,61.09 
313.3 ,0.0 ,175.5 ,8.6 ,59.80 
425.0 ,0.0 ,153.5 ,16.5 ,60.29 
425.0 ,0.0 ,151.4 ,18.6 ,61.80 
375.0 ,0.0 ,126.6 ,23.4 ,56.70 
475.0 ,0.0 ,181.1 ,8.9 ,68.30 
469.0 ,0.0 ,137.8 ,32.2 ,66.90 
425.0 ,0.0 ,153.5 ,16.5 ,60.29 
388.6 ,0.0 ,157.9 ,12.1 ,50.70 
531.3 ,0.0 ,141.8 ,28.2 ,56.40 
425.0 ,0.0 ,153.5 ,16.5 ,60.29 
318.8 ,0.0 ,155.7 ,14.3 ,55.50 
401.8 ,0.0 ,147.4 ,11.4 ,68.50 
362.6 ,0.0 ,164.9 ,11.6 ,71.30 
323.7 ,0.0 ,183.8 ,10.3 ,74.70 
379.5 ,0.0 ,153.9 ,15.9 ,52.20 
362.6 ,0.0 ,164.9 ,11.6 ,71.30 
286.3 ,0.0 ,144.7 ,11.2 ,67.70 
362.6 ,0.0 ,164.9 ,11.6 ,71.30 
439.0 ,0.0 ,186.0 ,11.1 ,66.00 
389.9 ,0.0 ,145.9 ,22.0 ,74.50 
362.6 ,0.0 ,164.9 ,11.6 ,71.30 
337.9 ,0.0 ,174.9 ,9.5 ,49.90 
374.0 ,0.0 ,170.1 ,10.1 ,63.40 
313.3 ,0.0 ,175.5 ,8.6 ,64.90 
425.0 ,0.0 ,153.5 ,16.5 ,64.30 
425.0 ,0.0 ,151.4 ,18.6 ,64.90 
375.0 ,0.0 ,126.6 ,23.4 ,60.20 
475.0 ,0.0 ,181.1 ,8.9 ,72.30 
469.0 ,0.0 ,137.8 ,32.2 ,69.30 
425.0 ,0.0 ,153.5 ,16.5 ,64.30 
388.6 ,0.0 ,157.9 ,12.1 ,55.20 
531.3 ,0.0 ,141.8 ,28.2 ,58.80 
425.0 ,0.0 ,153.5 ,16.5 ,64.30 
318.8 ,0.0 ,155.7 ,14.3 ,66.10 
401.8 ,0.0 ,147.4 ,11.4 ,73.70 
362.6 ,0.0 ,164.9 ,11.6 ,77.30 
323.7 ,0.0 ,183.8 ,10.3 ,80.20 
379.5 ,0.0 ,153.9 ,15.9 ,54.90 
362.6 ,0.0 ,164.9 ,11.6 ,77.30 
286.3 ,0.0 ,144.7 ,11.2 ,72.99 
362.6 ,0.0 ,164.9 ,11.6 ,77.30 
439.0 ,0.0 ,186.0 ,11.1 ,71.70 
389.9 ,0.0 ,145.9 ,22.0 ,79.40 
362.6 ,0.0 ,164.9 ,11.6 ,77.30 
337.9 ,0.0 ,174.9 ,9.5 ,59.89 
374.0 ,0.0 ,170.1 ,10.1 ,64.90 
313.3 ,0.0 ,175.5 ,8.6 ,66.60 
425.0 ,0.0 ,153.5 ,16.5 ,65.20 
425.0 ,0.0 ,151.4 ,18.6 ,66.70 
375.0 ,0.0 ,126.6 ,23.4 ,62.50 
475.0 ,0.0 ,181.1 ,8.9 ,74.19 
469.0 ,0.0 ,137.8 ,32.2 ,70.70 
425.0 ,0.0 ,153.5 ,16.5 ,65.20 
388.6 ,0.0 ,157.9 ,12.1 ,57.60 
531.3 ,0.0 ,141.8 ,28.2 ,59.20 
425.0 ,0.0 ,153.5 ,16.5 ,65.20 
318.8 ,0.0 ,155.7 ,14.3 ,68.10 
401.8 ,0.0 ,147.4 ,11.4 ,75.50 
362.6 ,0.0 ,164.9 ,11.6 ,79.30 
379.5 ,0.0 ,153.9 ,15.9 ,56.50 
362.6 ,0.0 ,164.9 ,11.6 ,79.30 
286.3 ,0.0 ,144.7 ,11.2 ,76.80 
362.6 ,0.0 ,164.9 ,11.6 ,79.30 
439.0 ,0.0 ,186.0 ,11.1 ,73.30 
389.9 ,0.0 ,145.9 ,22.0 ,82.60 
362.6 ,0.0 ,164.9 ,11.6 ,79.30 
337.9 ,0.0 ,174.9 ,9.5 ,67.80 
222.4 ,96.7 ,189.3 ,4.5 ,11.58 
222.4 ,96.7 ,189.3 ,4.5 ,24.45 
222.4 ,96.7 ,189.3 ,4.5 ,24.89 
222.4 ,96.7 ,189.3 ,4.5 ,29.45 
222.4 ,96.7 ,189.3 ,4.5 ,40.71 
233.8 ,94.6 ,197.9 ,4.6 ,10.38 
233.8 ,94.6 ,197.9 ,4.6 ,22.14 
233.8 ,94.6 ,197.9 ,4.6 ,22.84 
233.8 ,94.6 ,197.9 ,4.6 ,27.66 
233.8 ,94.6 ,197.9 ,4.6 ,34.56 
194.7 ,100.5 ,165.6 ,7.5 ,12.45 
194.7 ,100.5 ,165.6 ,7.5 ,24.99 
194.7 ,100.5 ,165.6 ,7.5 ,25.72 
194.7 ,100.5 ,165.6 ,7.5 ,33.96 
194.7 ,100.5 ,165.6 ,7.5 ,37.34 
190.7 ,125.4 ,162.1 ,7.8 ,15.04 
190.7 ,125.4 ,162.1 ,7.8 ,21.06 
190.7 ,125.4 ,162.1 ,7.8 ,26.40 
190.7 ,125.4 ,162.1 ,7.8 ,35.34 
190.7 ,125.4 ,162.1 ,7.8 ,40.57 
212.1 ,121.6 ,180.3 ,5.7 ,12.47 
212.1 ,121.6 ,180.3 ,5.7 ,20.92 
212.1 ,121.6 ,180.3 ,5.7 ,24.90 
212.1 ,121.6 ,180.3 ,5.7 ,34.20 
212.1 ,121.6 ,180.3 ,5.7 ,39.61 
230.0 ,118.3 ,195.5 ,4.6 ,10.03 
230.0 ,118.3 ,195.5 ,4.6 ,20.08 
230.0 ,118.3 ,195.5 ,4.6 ,24.48 
230.0 ,118.3 ,195.5 ,4.6 ,31.54 
230.0 ,118.3 ,195.5 ,4.6 ,35.34 
190.3 ,125.2 ,161.9 ,9.9 ,9.45 
190.3 ,125.2 ,161.9 ,9.9 ,22.72 
190.3 ,125.2 ,161.9 ,9.9 ,28.47 
190.3 ,125.2 ,161.9 ,9.9 ,38.56 
190.3 ,125.2 ,161.9 ,9.9 ,40.39 
166.1 ,163.3 ,176.5 ,4.5 ,10.76 
166.1 ,163.3 ,176.5 ,4.5 ,25.48 
166.1 ,163.3 ,176.5 ,4.5 ,21.54 
166.1 ,163.3 ,176.5 ,4.5 ,28.63 
166.1 ,163.3 ,176.5 ,4.5 ,33.54 
168.0 ,163.8 ,121.8 ,5.7 ,7.75 
168.0 ,163.8 ,121.8 ,5.7 ,17.82 
168.0 ,163.8 ,121.8 ,5.7 ,24.24 
168.0 ,163.8 ,121.8 ,5.7 ,32.85 
168.0 ,163.8 ,121.8 ,5.7 ,39.23 
213.7 ,24.5 ,181.7 ,6.9 ,18.00 
213.7 ,24.5 ,181.7 ,6.9 ,30.39 
213.7 ,24.5 ,181.7 ,6.9 ,45.71 
213.7 ,24.5 ,181.7 ,6.9 ,50.77 
213.7 ,24.5 ,181.7 ,6.9 ,53.90 
213.8 ,24.5 ,181.7 ,6.7 ,13.18 
213.8 ,24.5 ,181.7 ,6.7 ,17.84 
213.8 ,24.5 ,181.7 ,6.7 ,40.23 
213.8 ,24.5 ,181.7 ,6.7 ,47.13 
213.8 ,24.5 ,181.7 ,6.7 ,49.97 
229.7 ,118.2 ,195.2 ,6.1 ,13.36 
229.7 ,118.2 ,195.2 ,6.1 ,22.32 
229.7 ,118.2 ,195.2 ,6.1 ,24.54 
229.7 ,118.2 ,195.2 ,6.1 ,31.35 
229.7 ,118.2 ,195.2 ,6.1 ,40.86 
238.1 ,94.1 ,186.7 ,7.0 ,19.93 
238.1 ,94.1 ,186.7 ,7.0 ,25.69 
238.1 ,94.1 ,186.7 ,7.0 ,30.23 
238.1 ,94.1 ,186.7 ,7.0 ,39.59 
238.1 ,94.1 ,186.7 ,7.0 ,44.30 
250.0 ,95.7 ,187.4 ,5.5 ,13.82 
250.0 ,95.7 ,187.4 ,5.5 ,24.92 
250.0 ,95.7 ,187.4 ,5.5 ,29.22 
250.0 ,95.7 ,187.4 ,5.5 ,38.33 
250.0 ,95.7 ,187.4 ,5.5 ,42.35 
212.5 ,100.4 ,159.3 ,8.7 ,13.54 
212.5 ,100.4 ,159.3 ,8.7 ,26.31 
212.5 ,100.4 ,159.3 ,8.7 ,31.64 
212.5 ,100.4 ,159.3 ,8.7 ,42.55 
212.5 ,100.4 ,159.3 ,8.7 ,42.92 
212.6 ,100.4 ,159.4 ,10.4 ,13.33 
212.6 ,100.4 ,159.4 ,10.4 ,25.37 
212.6 ,100.4 ,159.4 ,10.4 ,37.40 
212.6 ,100.4 ,159.4 ,10.4 ,44.40 
212.6 ,100.4 ,159.4 ,10.4 ,47.74 
212.0 ,124.8 ,159.0 ,7.8 ,19.52 
212.0 ,124.8 ,159.0 ,7.8 ,31.35 
212.0 ,124.8 ,159.0 ,7.8 ,38.50 
212.0 ,124.8 ,159.0 ,7.8 ,45.08 
212.0 ,124.8 ,159.0 ,7.8 ,47.82 
231.8 ,121.6 ,174.0 ,6.7 ,15.44 
231.8 ,121.6 ,174.0 ,6.7 ,26.77 
231.8 ,121.6 ,174.0 ,6.7 ,33.73 
231.8 ,121.6 ,174.0 ,6.7 ,42.70 
231.8 ,121.6 ,174.0 ,6.7 ,45.84 
251.4 ,118.3 ,188.5 ,5.8 ,17.22 
251.4 ,118.3 ,188.5 ,5.8 ,29.93 
251.4 ,118.3 ,188.5 ,5.8 ,29.65 
251.4 ,118.3 ,188.5 ,5.8 ,36.97 
251.4 ,118.3 ,188.5 ,5.8 ,43.58 
251.4 ,118.3 ,188.5 ,6.4 ,13.12 
251.4 ,118.3 ,188.5 ,6.4 ,24.43 
251.4 ,118.3 ,188.5 ,6.4 ,32.66 
251.4 ,118.3 ,188.5 ,6.4 ,36.64 
251.4 ,118.3 ,188.5 ,6.4 ,44.21 
181.4 ,167.0 ,169.6 ,7.6 ,13.62 
181.4 ,167.0 ,169.6 ,7.6 ,21.60 
181.4 ,167.0 ,169.6 ,7.6 ,27.77 
181.4 ,167.0 ,169.6 ,7.6 ,35.57 
181.4 ,167.0 ,169.6 ,7.6 ,45.37 
182.0 ,122.0 ,170.2 ,8.2 ,7.32 
182.0 ,122.0 ,170.2 ,8.2 ,21.50 
182.0 ,122.0 ,170.2 ,8.2 ,31.27 
182.0 ,122.0 ,170.2 ,8.2 ,43.50 
182.0 ,122.0 ,170.2 ,8.2 ,48.67 
168.9 ,124.3 ,158.3 ,10.8 ,7.40 
168.9 ,124.3 ,158.3 ,10.8 ,23.51 
168.9 ,124.3 ,158.3 ,10.8 ,31.12 
168.9 ,124.3 ,158.3 ,10.8 ,39.15 
168.9 ,124.3 ,158.3 ,10.8 ,48.15 
290.4 ,96.2 ,168.1 ,9.4 ,22.50 
290.4 ,96.2 ,168.1 ,9.4 ,34.67 
290.4 ,96.2 ,168.1 ,9.4 ,34.74 
290.4 ,96.2 ,168.1 ,9.4 ,45.08 
290.4 ,96.2 ,168.1 ,9.4 ,48.97 
277.1 ,97.4 ,160.6 ,11.8 ,23.14 
277.1 ,97.4 ,160.6 ,11.8 ,41.89 
277.1 ,97.4 ,160.6 ,11.8 ,48.28 
277.1 ,97.4 ,160.6 ,11.8 ,51.04 
277.1 ,97.4 ,160.6 ,11.8 ,55.64 
295.7 ,95.6 ,171.5 ,8.9 ,22.95 
295.7 ,95.6 ,171.5 ,8.9 ,35.23 
295.7 ,95.6 ,171.5 ,8.9 ,39.94 
295.7 ,95.6 ,171.5 ,8.9 ,48.72 
295.7 ,95.6 ,171.5 ,8.9 ,52.04 
251.8 ,99.9 ,146.1 ,12.4 ,21.02 
251.8 ,99.9 ,146.1 ,12.4 ,33.36 
251.8 ,99.9 ,146.1 ,12.4 ,33.94 
251.8 ,99.9 ,146.1 ,12.4 ,44.14 
251.8 ,99.9 ,146.1 ,12.4 ,45.37 
249.1 ,98.8 ,158.1 ,12.8 ,15.36 
249.1 ,98.8 ,158.1 ,12.8 ,28.68 
249.1 ,98.8 ,158.1 ,12.8 ,30.85 
249.1 ,98.8 ,158.1 ,12.8 ,42.03 
249.1 ,98.8 ,158.1 ,12.8 ,51.06 
252.3 ,98.8 ,146.3 ,14.2 ,21.78 
252.3 ,98.8 ,146.3 ,14.2 ,42.29 
252.3 ,98.8 ,146.3 ,14.2 ,50.60 
252.3 ,98.8 ,146.3 ,14.2 ,55.83 
252.3 ,98.8 ,146.3 ,14.2 ,60.95 
246.8 ,125.1 ,143.3 ,12.0 ,23.52 
246.8 ,125.1 ,143.3 ,12.0 ,42.22 
246.8 ,125.1 ,143.3 ,12.0 ,52.50 
246.8 ,125.1 ,143.3 ,12.0 ,60.32 
246.8 ,125.1 ,143.3 ,12.0 ,66.42 
275.1 ,121.4 ,159.5 ,9.9 ,23.80 
275.1 ,121.4 ,159.5 ,9.9 ,38.77 
275.1 ,121.4 ,159.5 ,9.9 ,51.33 
275.1 ,121.4 ,159.5 ,9.9 ,56.85 
275.1 ,121.4 ,159.5 ,9.9 ,58.61 
297.2 ,117.5 ,174.8 ,9.5 ,21.91 
